log_type,participant_id,keyboard_type,content,sentence_time_in_s,words_per_minute
key_pressed,1,normal,G,,90909.09090909091
key_pressed,1,normal,Gl,,119.69298748709562
key_pressed,1,normal,Glü,,54.269256918199645
key_pressed,1,normal,Glüc,,54.09413732247543
key_pressed,1,normal,Glück,,48.10776138550352
key_pressed,1,normal,Glückl,,49.17421468096179
key_pressed,1,normal,Glückli,,48.86328866220459
key_pressed,1,normal,Glücklic,,51.39296344675475
key_pressed,1,normal,Glücklich,,53.16028021374372
word_finished,1,normal,Glücklich,,44.425303171843254
key_pressed,1,normal,Glücklich s,,40.098200493007376
key_pressed,1,normal,Glücklich se,,41.26792575524994
key_pressed,1,normal,Glücklich sei,,43.84358435916664
key_pressed,1,normal,Glücklich sein,,44.73477440482677
word_finished,1,normal,Glücklich sein,,42.58933317389635
key_pressed,1,normal,Glücklich sein h,,43.041342234009626
key_pressed,1,normal,Glücklich sein he,,44.244894507881234
key_pressed,1,normal,Glücklich sein hei,,47.1003942450187
key_pressed,1,normal,Glücklich sein heiß,,44.668115898871385
key_pressed,1,normal,Glücklich sein heißt,,44.34440492682763
word_finished,1,normal,Glücklich sein heißt,,42.48019852412777
key_pressed,1,normal,Glücklich sein heißt e,,37.850107266871966
key_pressed,1,normal,Glücklich sein heißt ei,,38.63429070178867
key_pressed,1,normal,Glücklich sein heißt ein,,39.397752201896594
key_pressed,1,normal,Glücklich sein heißt eine,,41.067442385022844
key_pressed,1,normal,Glücklich sein heißt einen,,41.84230454072386
key_pressed,1,normal,Glücklich sein heißt einene,,43.45192994462595
word_finished,1,normal,Glücklich sein heißt einene,,42.361232764825
key_pressed,1,normal,Glücklich sein heißt einene g,,43.37463948445483
key_pressed,1,normal,Glücklich sein heißt einene gu,,42.59827640820072
key_pressed,1,normal,Glücklich sein heißt einene gut,,43.231945525613725
key_pressed,1,normal,Glücklich sein heißt einene gute,,43.623735414774075
key_pressed,1,normal,Glücklich sein heißt einene guten,,44.09347055525463
word_finished,1,normal,Glücklich sein heißt einene guten,,43.002950397826716
key_pressed,1,normal,Glücklich sein heißt einene guten G,,43.23327232638239
key_pressed,1,normal,Glücklich sein heißt einene guten Ge,,44.34945078212402
key_pressed,1,normal,Glücklich sein heißt einene guten Gen,,44.5288379306846
key_pressed,1,normal,Glücklich sein heißt einene guten Geni,,44.721936279146185
key_pressed,1,normal,Glücklich sein heißt einene guten Geniu,,44.778950030203845
key_pressed,1,normal,Glücklich sein heißt einene guten Genius,,44.951834109751395
word_finished,1,normal,Glücklich sein heißt einene guten Genius,,44.129444268452026
key_pressed,1,normal,Glücklich sein heißt einene guten Genius h,,44.41323181208762
key_pressed,1,normal,Glücklich sein heißt einene guten Genius ha,,45.139617140813954
key_pressed,1,normal,Glücklich sein heißt einene guten Genius hab,,45.83386730793874
key_pressed,1,normal,Glücklich sein heißt einene guten Genius habe,,46.03086113512103
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben,,44.844046420314655
word_finished,1,normal,Glücklich sein heißt einene guten Genius haben,,43.82953634103178
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben o,,43.29480887321828
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben od,,43.602338711791404
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben ode,,44.1014446043549
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder,,44.63563374230733
word_finished,1,normal,Glücklich sein heißt einene guten Genius haben oder,,44.39932008495744
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder g,,44.5577127172828
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder gu,,44.717078205552255
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder gut,,45.11844431603997
word_finished,1,normal,Glücklich sein heißt einene guten Genius haben oder gut,,44.3984855393188
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder gut s,,44.530722719713886
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder gut se,,44.629391611829945
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder gut sei,,45.13914253534377
key_pressed,1,normal,Glücklich sein heißt einene guten Genius haben oder gut sein,,45.29614016934983
word_finished,1,normal,Glücklich sein heißt einene guten Genius haben oder gut sein.,,43.791853598967656
sentence_finished,1,normal,Glücklich sein heißt einene guten Genius haben oder gut sein.,14.631611999999999,41.826746235900394
key_pressed,1,normal,W,,40.592370182640295
key_pressed,1,normal,Wa,,40.85461166985002
key_pressed,1,normal,Was,,41.27267871595346
word_finished,1,normal,Was,,40.91779368983214
key_pressed,1,normal,Was a,,41.0857647909687
key_pressed,1,normal,Was am,,41.80599405882078
key_pressed,1,normal,Was amc,,41.79855771754453
key_pressed,1,normal,Was amch,,42.05174067924073
key_pressed,1,normal,Was amchs,,42.47410459428232
key_pressed,1,normal,Was amchst,,42.62283145245291
word_finished,1,normal,Was amchst,,41.57369604535413
key_pressed,1,normal,Was amchst d,,41.34972740813582
key_pressed,1,normal,Was amchst du,,41.15370427313183
word_finished,1,normal,Was amchst du,,40.54175776528601
key_pressed,1,normal,Was amchst du a,,40.735328721440354
key_pressed,1,normal,Was amchst du al,,41.086702625734546
key_pressed,1,normal,Was amchst du als,,41.4380886798473
key_pressed,1,normal,Was amchst du also,,41.797858904677604
word_finished,1,normal,Was amchst du also,,41.21720870505367
key_pressed,1,normal,Was amchst du also h,,41.05490266005131
key_pressed,1,normal,Was amchst du also hi,,41.14778312032212
key_pressed,1,normal,Was amchst du also hie,,41.57352790547747
key_pressed,1,normal,Was amchst du also hier,,41.7184546650023
word_finished,1,normal,"Was amchst du also hier,",,39.66951141140722
word_finished,1,normal,"Was amchst du also hier,",,39.303822619602585
key_pressed,1,normal,"Was amchst du also hier, E",,39.49074002402261
key_pressed,1,normal,"Was amchst du also hier, Ei",,39.80064483493811
key_pressed,1,normal,"Was amchst du also hier, Ein",,39.966134631946794
key_pressed,1,normal,"Was amchst du also hier, Einb",,39.843136494778534
key_pressed,1,normal,"Was amchst du also hier, Einbi",,39.895498617487995
key_pressed,1,normal,"Was amchst du also hier, Einbil",,40.071943198372026
key_pressed,1,normal,"Was amchst du also hier, Einbils",,40.203117986753156
key_pressed,1,normal,"Was amchst du also hier, Einbil",,38.76363060164215
key_pressed,1,normal,"Was amchst du also hier, Einbild",,38.79876341118728
key_pressed,1,normal,"Was amchst du also hier, Einbildu",,37.829224894944076
key_pressed,1,normal,"Was amchst du also hier, Einbildun",,37.99410522259035
key_pressed,1,normal,"Was amchst du also hier, Einbildung",,38.210377182195636
word_finished,1,normal,"Was amchst du also hier, Einbildung?",,36.743412939468435
sentence_finished,1,normal,"Was amchst du also hier, Einbildung?",11.387144000000001,35.874822877404455
key_pressed,1,normal,G,,34.68495215474913
key_pressed,1,normal,GE,,34.97810402680091
key_pressed,1,normal,GEh,,35.151622783841944
word_finished,1,normal,GEh,,34.87562864108479
key_pressed,1,normal,GEh,,34.43155473611221
word_finished,1,normal,"GEh,",,34.09022182568951
word_finished,1,normal,"GEh,",,33.872154517967275
key_pressed,1,normal,"GEh, u",,33.99981630654801
key_pressed,1,normal,"GEh, um",,34.17452588624848
word_finished,1,normal,"GEh, um",,33.9630606431425
key_pressed,1,normal,"GEh, um d",,34.31149692483209
key_pressed,1,normal,"GEh, um de",,34.55573358231114
key_pressed,1,normal,"GEh, um der",,34.786606405459445
word_finished,1,normal,"GEh, um der",,34.704929552608114
key_pressed,1,normal,"GEh, um der G",,34.721155473239115
key_pressed,1,normal,"GEh, um der Gö",,34.64345025155635
key_pressed,1,normal,"GEh, um der Göt",,34.698012741224666
key_pressed,1,normal,"GEh, um der Gött",,34.839834275997
key_pressed,1,normal,"GEh, um der Götte",,35.04457742472913
key_pressed,1,normal,"GEh, um der Götter",,35.223253442643674
word_finished,1,normal,"GEh, um der Götter",,35.05856707679803
key_pressed,1,normal,"GEh, um der Götter w",,35.28530833664314
key_pressed,1,normal,"GEh, um der Götter wi",,35.46022118867033
key_pressed,1,normal,"GEh, um der Götter wil",,35.584770121926454
key_pressed,1,normal,"GEh, um der Götter will",,35.794441652822954
key_pressed,1,normal,"GEh, um der Götter wille",,35.957592922456094
key_pressed,1,normal,"GEh, um der Götter willen",,36.113341360727226
word_finished,1,normal,"GEh, um der Götter willen,",,34.99848850277779
word_finished,1,normal,"GEh, um der Götter willen,",,34.80375222733138
key_pressed,1,normal,"GEh, um der Götter willen, w",,34.94151764388078
key_pressed,1,normal,"GEh, um der Götter willen, wi",,35.13602982842249
key_pressed,1,normal,"GEh, um der Götter willen, wie",,35.33422633252915
word_finished,1,normal,"GEh, um der Götter willen, wie",,35.180071730344636
key_pressed,1,normal,"GEh, um der Götter willen, wie d",,35.418108069672535
key_pressed,1,normal,"GEh, um der Götter willen, wie du",,35.59685141893994
word_finished,1,normal,"GEh, um der Götter willen, wie du",,35.35497375734983
key_pressed,1,normal,"GEh, um der Götter willen, wie du g",,35.452871552992136
key_pressed,1,normal,"GEh, um der Götter willen, wie du ge",,35.694621504408204
key_pressed,1,normal,"GEh, um der Götter willen, wie du gek",,35.7388788454489
key_pressed,1,normal,"GEh, um der Götter willen, wie du geko",,35.91144468364969
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekom",,36.03612162551409
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekomm",,36.20719912198086
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekomme",,36.423011983089644
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen",,36.554785838287785
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen",,36.149271860092526
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen b",,35.88737973596018
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bi",,35.97689938932341
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bis",,36.15471537745757
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist",,36.323196350212115
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist,",,35.853597808946795
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist,",,35.326870042585234
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, d",,35.23922456185897
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, de",,35.40614229624452
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, den",,35.576627460234974
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn",,35.710132004765576
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn",,35.51958325254585
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn i",,35.631730874120834
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ic",,35.806683210680475
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich",,35.99132841187393
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich",,35.80528565904465
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich b",,35.91464754717682
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich br",,36.12278737475133
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich bra",,35.89685307787839
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brau",,35.80122238332514
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauc",,35.93662951466097
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauch",,36.10523732389092
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche",,36.26477688730422
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche",,35.93625347549521
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche d",,35.967399639431356
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche di",,36.07658217513038
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dic",,36.17748430818492
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich",,35.87922971546154
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich",,35.70471722789634
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich n",,35.73356945515503
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich ni",,35.826648706851934
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich nic",,35.95305703134002
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich nich",,36.106237538694074
key_pressed,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich nicht",,36.22251673140686
word_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich nicht.",,35.850183364085176
sentence_finished,1,normal,"GEh, um der Götter willen, wie du gekommen bist, denn ich brauche dich nicht.",19.71919,35.18849523877667
key_pressed,1,normal,D,,34.99262197524251
key_pressed,1,normal,Du,,35.08591963129475
word_finished,1,normal,Du,,34.91297112150237
key_pressed,1,normal,Du b,,34.97551958213304
key_pressed,1,normal,Du bi,,35.077349514059954
key_pressed,1,normal,Du bis,,35.242437793147715
key_pressed,1,normal,Du bist,,35.363092061573205
word_finished,1,normal,Du bist,,35.186990132579844
